ap-south-1,m4.large,Linux/UNIX,0.123
us-west-2,p3.8xlarge,Linux/UNIX,12.24
us-east-1,g3.16xlarge,Linux/UNIX,4.56
ap-northeast-1,x1.16xlarge,Linux/UNIX,9.671
ap-south-1,d2.4xlarge,Linux/UNIX,3.306
ap-southeast-2,m3.medium,Linux/UNIX,0.093
us-west-2,t1.micro,Linux/UNIX,0.02
ap-northeast-1,t2.xlarge,Linux/UNIX,0.2432
ap-northeast-1,x1e.32xlarge,Linux/UNIX,38.688
eu-west-1,r4.4xlarge,Linux/UNIX,1.1856
us-east-1,c3.xlarge,Linux/UNIX,0.21
us-east-1,p3.8xlarge,Linux/UNIX,12.24
us-west-1,m4.4xlarge,Linux/UNIX,0.936
us-west-2,i3.4xlarge,Linux/UNIX,1.248
ap-southeast-1,m3.xlarge,Linux/UNIX,0.392
us-west-2,c1.xlarge,Linux/UNIX,0.52
us-east-1,g3.4xlarge,Linux/UNIX,1.14
ap-southeast-2,t2.micro,Linux/UNIX,0.0146
us-west-1,t2.nano,Linux/UNIX,0.0069
sa-east-1,m4.large,Linux/UNIX,0.159
ap-southeast-1,m4.large,Linux/UNIX,0.125
ap-northeast-2,i2.xlarge,Linux/UNIX,1.001
us-west-1,i2.xlarge,Linux/UNIX,0.938
ap-southeast-2,m1.xlarge,Linux/UNIX,0.467
ap-south-1,r4.4xlarge,Linux/UNIX,1.216
us-west-1,m2.xlarge,Linux/UNIX,0.275
ap-northeast-1,g3.16xlarge,Linux/UNIX,6.32
ap-southeast-2,r4.8xlarge,Linux/UNIX,2.5536
ap-northeast-1,r4.16xlarge,Linux/UNIX,5.12
ap-northeast-2,r4.2xlarge,Linux/UNIX,0.64
ap-northeast-1,p3.16xlarge,Linux/UNIX,41.944
eu-central-1,c4.xlarge,Linux/UNIX,0.227
eu-central-1,c3.8xlarge,Linux/UNIX,2.064
ap-southeast-2,c3.8xlarge,Linux/UNIX,2.117
us-east-1,m1.large,Linux/UNIX,0.175
us-west-2,t2.medium,Linux/UNIX,0.0464
ap-northeast-1,m4.16xlarge,Linux/UNIX,4.128
ap-south-1,m4.16xlarge,Linux/UNIX,3.936
us-east-1,c3.large,Linux/UNIX,0.105
us-east-1,m1.xlarge,Linux/UNIX,0.35
ap-south-1,t2.large,Linux/UNIX,0.1152
sa-east-1,m1.small,Linux/UNIX,0.058
ap-southeast-1,r4.16xlarge,Linux/UNIX,5.12
ap-northeast-1,t2.small,Linux/UNIX,0.0304
ap-southeast-1,g3.16xlarge,Linux/UNIX,6.68
ap-southeast-1,i2.2xlarge,Linux/UNIX,2.035
ap-northeast-2,t2.xlarge,Linux/UNIX,0.2304
ap-northeast-1,c4.large,Linux/UNIX,0.126
ap-southeast-2,i3.16xlarge,Linux/UNIX,5.984
ap-southeast-2,m4.xlarge,Linux/UNIX,0.25
ap-southeast-1,c3.large,Linux/UNIX,0.132
ap-southeast-2,p2.xlarge,Linux/UNIX,1.542
ap-northeast-1,i2.xlarge,Linux/UNIX,1.001
sa-east-1,m3.xlarge,Linux/UNIX,0.381
ap-southeast-1,d2.8xlarge,Linux/UNIX,6.96
us-west-1,r4.large,Linux/UNIX,0.1482
us-west-2,r4.2xlarge,Linux/UNIX,0.532
us-west-2,c3.xlarge,Linux/UNIX,0.21
eu-west-1,g3.8xlarge,Linux/UNIX,2.42
ap-southeast-1,m4.xlarge,Linux/UNIX,0.25
eu-west-1,r4.2xlarge,Linux/UNIX,0.5928
sa-east-1,r4.8xlarge,Linux/UNIX,4.48
ap-northeast-1,m1.large,Linux/UNIX,0.243
ap-southeast-2,m3.2xlarge,Linux/UNIX,0.745
eu-west-1,hs1.8xlarge,Linux/UNIX,4.9
us-west-1,m1.xlarge,Linux/UNIX,0.379
ap-southeast-1,c4.2xlarge,Linux/UNIX,0.462
sa-east-1,c1.medium,Linux/UNIX,0.179
ap-northeast-1,d2.8xlarge,Linux/UNIX,6.752
us-west-1,r3.4xlarge,Linux/UNIX,1.482
ap-northeast-1,g2.2xlarge,Linux/UNIX,0.898
ap-southeast-1,i2.8xlarge,Linux/UNIX,8.14
us-east-1,x1.16xlarge,Linux/UNIX,6.669
ap-southeast-1,i3.2xlarge,Linux/UNIX,0.748
us-west-1,m3.2xlarge,Linux/UNIX,0.616
ap-southeast-2,d2.8xlarge,Linux/UNIX,6.96
us-west-1,i3.8xlarge,Linux/UNIX,2.752
ap-northeast-1,t2.medium,Linux/UNIX,0.0608
eu-west-1,hi1.4xlarge,Linux/UNIX,3.1
ap-southeast-2,c3.xlarge,Linux/UNIX,0.265
ap-south-1,d2.2xlarge,Linux/UNIX,1.653
eu-central-1,g3.8xlarge,Linux/UNIX,2.85
ap-southeast-2,m2.4xlarge,Linux/UNIX,1.183
ap-southeast-1,c3.4xlarge,Linux/UNIX,1.058
us-east-1,r4.16xlarge,Linux/UNIX,4.256
eu-west-1,d2.2xlarge,Linux/UNIX,1.47
us-east-1,c1.medium,Linux/UNIX,0.13
us-west-2,r3.4xlarge,Linux/UNIX,1.33
ap-northeast-1,cr1.8xlarge,Linux/UNIX,4.105
us-west-1,c3.xlarge,Linux/UNIX,0.239
ap-southeast-1,m4.10xlarge,Linux/UNIX,2.5
sa-east-1,m1.large,Linux/UNIX,0.233
